City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Trairi,BR,79.45,clear sky,-3.2778,-39.2689,janelas do mar
284,Lipari,IT,54.16,broken clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
285,Charlestown,AU,73.72,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
288,Lapao,BR,76.95,overcast clouds,-11.3833,-41.8319,Pousada Toque De Classe
289,Libano,CO,79.48,broken clouds,4.9218,-75.0623,HOTEL CALLE REAL DEL LIBANO TOLIMA
290,Sankt Florian,AT,39.6,broken clouds,48.2057,14.3784,Hotel Florianerhof
291,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
292,Huarmey,PE,75.15,broken clouds,-10.0681,-78.1522,Hotel Miramar
293,Wajima,JP,39.07,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
295,Almenara,BR,80.08,broken clouds,-16.1836,-40.6944,Pousada Estância
296,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
297,Moerai,PF,79.39,overcast clouds,-22.4333,-151.3333,Le Manotel
298,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
299,Kothapet,IN,62.83,broken clouds,19.3333,79.4833,Andhavelly Village
300,West Bay,KY,85.06,few clouds,19.3667,-81.4167,Calypso Cove
302,Rio Gallegos,AR,66.25,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
305,Show Low,US,57.31,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
307,Conceicao Do Araguaia,BR,80.91,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
308,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
309,Durban,ZA,80.02,overcast clouds,-29.8579,31.0292,Hilton Durban
312,Dabakala,CI,81.55,clear sky,8.3667,-4.4333,Hôtel Campement
313,Dawlatabad,AF,48.45,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
314,Orlovskiy,RU,40.96,overcast clouds,46.8714,42.0592,Tulip Hotel
316,Rorvik,NO,32.11,scattered clouds,64.8621,11.2373,Kysthotellet Rørvik AS
317,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
319,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
321,Kita,ML,77.43,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
322,Tocopilla,CL,71.98,few clouds,-22.092,-70.1979,Hotel Galvarino
323,Shelburne,CA,34.23,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
324,Camana,PE,73.81,scattered clouds,-16.6228,-72.7111,Hostal Morales
325,Meulaboh,ID,74.84,overcast clouds,4.1363,96.1285,Kost Pria
326,Newport,GB,44.26,overcast clouds,51.5877,-2.9984,ibis budget Newport
327,Bandarbeyla,SO,74.86,broken clouds,9.4942,50.8122,JABIR HOTEL
328,Tubuala,PA,91.56,scattered clouds,9.5167,-79.0333,Río Nabagana
330,Kiama,AU,65.37,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
335,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
337,San Angelo,US,77.95,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
338,Pundaguitan,PH,80.38,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
339,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
340,Chimbote,PE,75.6,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
341,Le Port,RE,77.0,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
343,Berlevag,NO,30.15,broken clouds,70.8578,29.0864,Kvitbrakka
344,Varberg,SE,38.05,clear sky,57.1056,12.2508,Varbergs Kusthotell
346,Funadhoo,MV,81.66,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
348,Silvan,TR,34.09,clear sky,38.1419,41.0081,Silvan Grand Otel
349,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
350,Santa,PH,72.79,broken clouds,17.486,120.4348,Monte Leah Beach Resort
351,Kodiak,US,38.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
352,Reconquista,AR,93.45,broken clouds,-29.15,-59.65,Grand Hotel
353,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
354,Marsh Harbour,BS,74.5,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
355,Cockburn Town,TC,77.88,clear sky,21.4612,-71.1419,Osprey Beach Hotel
359,Ecoporanga,BR,76.19,scattered clouds,-18.3733,-40.8306,Ecoporanga - Esp. Santo - Pousada Tranquila
360,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
362,Les Cayes,HT,81.37,scattered clouds,18.2,-73.75,Villa Orphee
364,Covington,US,58.51,overcast clouds,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
365,Kapit,MY,72.81,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
366,Bardiyah,LY,55.31,clear sky,31.7561,25.0865,بورتو بردية
367,Abu Dhabi,AE,69.82,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
368,Finschhafen,PG,78.75,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
369,Rocha,UY,75.43,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
371,Cumana,VE,86.09,few clouds,10.4635,-64.1775,Posada Acuarela Los Roques
373,Seoul,KR,31.44,mist,37.5683,126.9778,LOTTE Hotel Seoul
374,Sijunjung,ID,71.26,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
375,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
376,Ixtapa,MX,74.43,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
377,Katsuura,JP,39.31,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
378,Canete,CL,70.3,clear sky,-37.8,-73.4,Alojamiento El Alero Criollo
