City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Urambo,-5.0667,32.05,66.25,90,100,0.69,TZ,2022-02-11 18:31:37
229,Pella,59.7775,30.8181,28.45,93,41,8.59,RU,2022-02-11 18:32:37
230,Oranjemund,-28.55,16.4333,66.87,75,100,11.9,NA,2022-02-11 18:32:38
231,Havre-Saint-Pierre,50.2334,-63.5986,25.16,50,0,18.41,CA,2022-02-11 18:32:38
232,Karla,59.3723,24.9275,30.56,74,20,13.8,EE,2022-02-11 18:32:38
233,Ucluelet,48.9329,-125.5528,44.1,93,100,1.77,CA,2022-02-11 18:32:13
234,Kinablangan,7.6947,126.5503,76.08,86,85,2.57,PH,2022-02-11 18:32:39
235,Dawei,14.0833,98.2,74.5,68,93,2.01,MM,2022-02-11 18:32:39
236,Airai,-8.9266,125.4092,60.67,94,100,0.98,TL,2022-02-11 18:32:39
237,Rawlins,41.7911,-107.2387,30.63,76,100,9.22,US,2022-02-11 18:32:40
238,Chokurdakh,70.6333,147.9167,-5.6,97,100,12.33,RU,2022-02-11 18:32:40
239,Sakakah,29.9697,40.2064,53.17,45,66,8.81,SA,2022-02-11 18:32:41
240,Darlowo,54.421,16.4107,39.94,66,5,19.35,PL,2022-02-11 18:32:41
241,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,16.66,96,100,3.27,RU,2022-02-11 18:32:41
242,Ozernovskiy,51.5,156.5167,22.44,73,82,4.76,RU,2022-02-11 18:32:42
243,Praya,14.9215,-23.5087,81.14,47,11,20.71,CV,2022-02-11 18:32:42
244,Laguna,38.421,-121.4238,74.23,67,0,4.61,US,2022-02-11 18:32:42
245,Barranca,-10.75,-77.7667,74.73,68,19,12.97,PE,2022-02-11 18:32:43
246,Tiksi,71.6872,128.8694,-13.11,94,98,14.76,RU,2022-02-11 18:32:43
247,Baykit,61.67,96.37,-17.09,99,22,1.57,RU,2022-02-11 18:32:44
248,Bay City,43.5945,-83.8889,39.2,89,100,18.41,US,2022-02-11 18:27:57
249,Alexandria,31.2156,29.9553,55.36,82,20,4.61,EG,2022-02-11 18:32:44
250,Iqaluit,63.7506,-68.5145,-0.31,77,100,2.3,CA,2022-02-11 18:32:45
251,Saskylakh,71.9167,114.0833,2.52,91,95,12.75,RU,2022-02-11 18:32:45
252,Khatanga,71.9667,102.5,2.17,80,75,15.75,RU,2022-02-11 18:32:45
253,Emerald,-23.5333,148.1667,73.54,78,0,4.61,AU,2022-02-11 18:31:35
254,Angoche,-16.2325,39.9086,78.91,83,100,2.62,MZ,2022-02-11 18:32:46
255,Terrace,54.5163,-128.6035,30.42,100,75,0.0,CA,2022-02-11 18:29:36
256,Matelandia,-25.2408,-53.9964,88.68,33,0,8.21,BR,2022-02-11 18:32:46
257,Pilar,-9.5972,-35.9567,85.93,51,99,15.43,BR,2022-02-11 18:32:47
258,West Wendover,40.7391,-114.0733,53.28,29,96,3.71,US,2022-02-11 18:31:05
259,Puerto Baquerizo Moreno,-0.9,-89.6,81.59,74,75,10.36,EC,2022-02-11 18:32:47
260,Vila Franca Do Campo,37.7167,-25.4333,65.19,69,62,3.67,PT,2022-02-11 18:32:47
261,Cascais,38.6979,-9.4215,63.75,67,0,15.01,PT,2022-02-11 18:32:48
262,Challans,46.8436,-1.8749,44.8,74,100,8.37,FR,2022-02-11 18:32:48
263,Hami,42.8,93.45,30.06,52,100,1.57,CN,2022-02-11 18:32:48
264,Codrington,-38.2667,141.9667,52.39,88,2,7.23,AU,2022-02-11 18:32:49
265,Lompoc,34.6391,-120.4579,83.12,42,0,4.61,US,2022-02-11 18:32:49
266,Luanda,-8.8368,13.2343,77.4,81,100,13.29,AO,2022-02-11 18:33:49
267,Vostok,46.4856,135.8833,14.81,98,100,3.06,RU,2022-02-11 18:33:50
268,Hammerfest,70.6634,23.6821,28.85,69,40,4.61,NO,2022-02-11 18:33:50
269,Pringsewu,-5.3582,104.9744,72.5,93,100,1.28,ID,2022-02-11 18:33:50
270,Jiazi,22.8779,116.067,60.03,89,62,9.69,CN,2022-02-11 18:33:51
271,San Quintin,30.4833,-115.95,72.91,23,0,4.68,MX,2022-02-11 18:33:51
272,Kalulushi,-12.8378,28.0919,62.42,98,100,4.0,ZM,2022-02-11 18:33:51
273,Sistranda,63.7256,8.834,36.9,57,100,36.78,NO,2022-02-11 18:33:52
274,Fort Dodge,42.4975,-94.168,30.02,68,100,16.11,US,2022-02-11 18:33:52
275,Chardara,41.2547,67.9692,49.39,46,100,9.08,KZ,2022-02-11 18:33:52
276,Tautira,-17.7333,-149.15,84.22,75,55,16.93,PF,2022-02-11 18:33:53
277,Sabha,27.0377,14.4283,53.44,29,0,7.63,LY,2022-02-11 18:33:53
278,Ngunguru,-35.6167,174.5,75.16,96,100,15.26,NZ,2022-02-11 18:33:53
279,Ndola,-12.9587,28.6366,61.99,96,100,3.24,ZM,2022-02-11 18:33:54
280,Noyabrsk,63.1994,75.4507,-7.94,88,72,11.99,RU,2022-02-11 18:32:10
281,Avarua,-21.2078,-159.775,77.05,94,20,3.44,CK,2022-02-11 18:33:54
282,Wanaka,-44.7,169.15,57.11,84,100,1.01,NZ,2022-02-11 18:31:16
283,Marsh Harbour,26.5412,-77.0636,74.53,74,100,13.22,BS,2022-02-11 18:33:54
284,Gravdal,68.1214,13.5031,24.48,93,40,4.61,NO,2022-02-11 18:33:55
285,Breves,-1.6822,-50.4803,82.29,81,100,3.62,BR,2022-02-11 18:33:55
286,Luderitz,-26.6481,15.1594,79.27,59,100,14.58,NA,2022-02-11 18:33:55
287,Kenai,60.5544,-151.2583,21.29,93,100,21.85,US,2022-02-11 18:33:56
288,Buchanan,5.8808,-10.0467,89.56,81,31,8.7,LR,2022-02-11 18:33:56
289,Tilichiki,60.4667,166.1,-17.99,86,4,8.88,RU,2022-02-11 18:33:57
290,Kati,12.7441,-8.0726,89.01,9,8,6.98,ML,2022-02-11 18:33:57
291,Lucapa,-8.4192,20.7447,69.28,85,100,1.61,AO,2022-02-11 18:33:57
292,Maniitsoq,65.4167,-52.9,27.81,97,100,19.55,GL,2022-02-11 18:33:58
293,San Lazaro,18.0387,-88.6622,82.11,77,60,7.0,BZ,2022-02-11 18:33:58
